,home_team_name,home_team_history_goal,home_team_history_opponent_goal,home_team_history_rating,home_team_history_opponent_rating
57643,Zenit,22.0,7.0,9.277790833333334,3.778606875
57642,Dynamo Kyiv,24.0,5.0,9.294197916666668,4.370073100961538
72518,Lazio,18.0,13.0,7.364701354853478,5.7833206840659335
72768,Midtjylland,13.0,13.0,6.590731469924812,7.962491990601505
2646,Napoli,12.0,13.0,8.036431890289448,5.529997138538749
70547,Shakhtar Donetsk,18.0,16.0,8.200112655769232,6.414448204116718
60245,Olympique Marseille,12.0,9.0,6.715273078463204,5.693863024891775
60244,Atalanta,23.0,18.0,8.937237305867743,5.731057201957764
60243,Liverpool,30.0,18.0,10.33716327014652,4.40817513919414
60247,Borussia M'gladbach,24.0,12.0,10.175350693056943,5.900971370608558
60248,Atlético Madrid,15.0,8.0,6.880929605614973,4.136834371943417
60140,Lokomotiv Moskva,11.0,10.0,6.7874275,5.055419494047619
62789,İstanbul Başakşehir,9.0,15.0,6.325101363636363,6.581634318181818
62864,Ferencváros,21.0,14.0,8.880738478326498,6.683742365791373
62548,Salzburg,33.0,10.0,12.733919616133866,4.693466027472527
62549,Real Madrid,18.0,12.0,9.325278743131868,4.88945545236014
62550,Manchester City,20.0,10.0,11.63413061188811,3.812796414835165
68428,Borussia Dortmund,25.0,11.0,9.461865648684649,5.253218342823843
68424,Juventus,20.0,9.0,9.620756515567766,4.254064386446888
68429,Paris Saint Germain,28.0,8.0,12.183542529411763,4.207489417647059
68430,Manchester United,20.0,12.0,7.605320612637361,5.34823660989011
68778,Ajax,37.0,9.0,11.576136339743591,5.018172608974359
68350,Rennes,10.0,15.0,5.892754983513709,6.40389069134199
68351,Krasnodar,11.0,20.0,5.709989527972027,6.455774637237761
70618,Porto,19.0,9.0,9.05682423256641,4.77663167007846
70884,Sevilla,13.0,9.0,7.652233802281051,4.210576011738263
72572,RB Leipzig,17.0,17.0,8.021744693356643,6.177590467532466
72573,Chelsea,25.0,3.0,8.468954705494506,4.678082128021979
72574,Barcelona,23.0,10.0,9.85892668225108,4.486319976673327
72814,Olympiakos Piraeus,13.0,10.0,7.203672270857737,5.878270314192343
39849,Dinamo Brest,22.0,14.0,8.124312206959708,4.952103277472527
39786,Sūduva,12.0,9.0,10.523752341331267,4.862862034055727
47760,Slavia Praha,35.0,4.0,12.05276955952381,4.6635416507936505
47757,Maccabi Tel Aviv,16.0,6.0,8.387523072420636,3.976183040674604
50454,Omonia Nicosia,10.0,8.0,6.407085428138528,5.8388355785714285
2672,Olympique Lyonnais,18.0,12.0,7.855250140151514,5.313960117424243
2674,Inter,20.0,10.0,8.095532908390629,4.609301743867245
39609,Tirana,13.0,12.0,8.192589499999999,4.878890595238095
48088,Gent,11.0,14.0,8.146802469537814,5.403924189371902
48090,Molde,20.0,12.0,8.906929193022663,5.121455984466514
39850,Legia Warszawa,14.0,10.0,8.589037880502087,4.399417421893929
39851,CFR Cluj,19.0,7.0,7.733157722222222,3.914405166666666
39709,AZ Alkmaar,12.0,12.0,8.485718092587238,5.648034004723347
39787,Celje,22.0,9.0,9.127751868055556,5.044522974673202
102900,Bayern München,28.0,11.0,11.670182527597404,4.559313124188312
37999,Celtic,20.0,15.0,9.422884222721724,5.1004925505050505
37951,Qarabağ,17.0,4.0,9.52743046978022,3.7100799474691977
62866,Club Brugge,24.0,10.0,9.390147405483406,4.919823613636363
50797,PAOK,10.0,5.0,8.193021068223445,4.614377394688645
2806,Bayer Leverkusen,15.0,9.0,7.334197057997558,6.149064519001831
2673,Benfica,23.0,9.0,9.934199710357628,4.375778779119272
2755,Dinamo Zagreb,19.0,9.0,9.52156434867216,4.928960368971307
18757,Tottenham Hotspur,14.0,10.0,8.056151145053477,5.235483863190732
39858,Young Boys,25.0,7.0,9.445968841889483,4.779456968939394
38183,Budućnost,18.0,9.0,9.497222561667542,3.572031510715873
38399,KÍ,33.0,9.0,13.9144198543148,5.772148972648674
38182,Connah's Quay,26.0,7.0,9.314997622863247,5.770291553418804
38138,Flora,27.0,9.0,13.42307515277778,4.399071645833333
25408,Valencia,10.0,16.0,5.868281555510772,5.723611110331059
39799,Lokomotiva Zagreb,14.0,14.0,6.5088593125,5.473018812499999
39831,Ludogorets,24.0,12.0,8.420848281772576,4.099339049331104
38092,Ararat-Armenia,16.0,12.0,7.290498693503927,4.593320328236334
36107,Drita,22.0,9.0,9.85484306547619,4.509804494047619
38152,Dinamo Tbilisi,16.0,4.0,8.302519429292929,4.572848318181817
38204,Floriana,18.0,10.0,8.355645312229438,5.051496903860029
38181,Sheriff,25.0,3.0,11.764321609848484,4.044473704004329
35966,Tre Fiori,13.807614839658903,19.705536484448213,6.516496618986869,8.290018040227292
38002,Crvena Zvezda,23.0,6.0,13.338545276515152,3.778033862794613
